x_coordinate,y_coordinate,timestamp,swipe_id
883, 1276, 21624.436809, 44
882, 1249, 21624.442223, 44
881, 1224, 21624.447670, 44
882, 1166, 21624.458511, 44
884, 1127, 21624.463987, 44
887, 1085, 21624.469412, 44
876, 1576, 21625.241839, 45
867, 1560, 21625.268787, 45
858, 1544, 21625.274052, 45
847, 1520, 21625.279557, 45
838, 1499, 21625.284940, 45
827, 1467, 21625.290325, 45
818, 1435, 21625.295848, 45
810, 1397, 21625.301219, 45
803, 1348, 21625.306622, 45
802, 1289, 21625.312155, 45
807, 1226, 21625.317546, 45
818, 1164, 21625.322969, 45
835, 1104, 21625.328506, 45
861, 1036, 21625.333899, 45
842, 1584, 21626.366976, 46
837, 1565, 21626.388783, 46
831, 1544, 21626.394176, 46
824, 1509, 21626.399750, 46
818, 1475, 21626.405081, 46
812, 1440, 21626.410438, 46
805, 1398, 21626.415814, 46
799, 1354, 21626.421208, 46
796, 1307, 21626.426755, 46
803, 1191, 21626.437717, 46
816, 1128, 21626.443231, 46
842, 1056, 21626.448459, 46
837, 1630, 21627.399998, 47
835, 1619, 21627.427299, 47
834, 1601, 21627.432569, 47
832, 1574, 21627.438096, 47
831, 1539, 21627.443511, 47
829, 1498, 21627.449019, 47
828, 1453, 21627.454337, 47
829, 1305, 21627.470643, 47
830, 1255, 21627.476129, 47
834, 1208, 21627.481652, 47
839, 1161, 21627.487190, 47
846, 1108, 21627.492425, 47
859, 1042, 21627.497766, 47
856, 1542, 21628.433207, 48
848, 1526, 21628.460202, 48
839, 1502, 21628.465756, 48
830, 1470, 21628.471057, 48
824, 1435, 21628.476522, 48
818, 1394, 21628.481948, 48
814, 1355, 21628.487295, 48
813, 1313, 21628.492852, 48
812, 1270, 21628.498213, 48
813, 1234, 21628.503728, 48
814, 1195, 21628.509189, 48
815, 1158, 21628.514545, 48
821, 1115, 21628.520160, 48
830, 1065, 21628.525719, 48
883, 724, 21629.373813, 49
874, 734, 21629.400935, 49
867, 742, 21629.406322, 49
858, 754, 21629.411666, 49
847, 768, 21629.417147, 49
838, 784, 21629.422672, 49
828, 802, 21629.428045, 49
817, 827, 21629.433421, 49
806, 853, 21629.438876, 49
795, 886, 21629.444259, 49
788, 921, 21629.449735, 49
783, 958, 21629.455051, 49
779, 1003, 21629.460557, 49
778, 1053, 21629.465940, 49
779, 1108, 21629.471393, 49
781, 1167, 21629.476885, 49
787, 1228, 21629.482280, 49
797, 1292, 21629.487684, 49
